"PermissionType","AppId","ClientObjectId","AppDisplayName","ResourceObjectId","ResourceDisplayName","Permission","ConsentType","PrincipalObjectId","PrincipalDisplayName","Homepage","PublisherName","ReplyUrls","ExpiryTime","CreatedDateTime","AppOwnerOrganizationId","ApplicationStatus","ApplicationVisibility","AssignmentRequired","IsAppProxy","PublisherDisplayName","VerifiedPublisherId","AddedDateTime","SignInAudience","ApplicationType"
"Delegated","5d9fff84-5b34-4204-bc91-3aaf5f298c5d","34d144a1-4bf8-45ef-9c7f-6770fa45d592","SharePointPnP.ProvisioningApp.Tenant","1c780412-86bf-4917-8e6d-6b5c07e64eb2","Microsoft Graph","openid","Principal","7f96006a-f58e-4e01-9379-02964d0d0a87","Administrator","https://provisioning.sharepointpnp.com/tenant/","","https://developer.microsoft.com/pt-br/office/profile, https://developer.microsoft.com/es-es/office/profile, https://developer.microsoft.com/ru-ru/office/profile, https://developer.microsoft.com/fr-fr/office/profile, https://developer.microsoft.com/de-de/office/profile, https://developer.microsoft.com/ja-jp/office/profile, https://developer.microsoft.com/zh-cn/office/profile, https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-tst.com/zh-cn/office/profile, https://developer.microsoft-tst.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-tst.com/office/profile, https://provisioning.sharepointpnp.com/tenant/, https://developer.microsoft.com/ja-jp/microsoft-365/profile, https://developer.microsoft.com/de-de/microsoft-365/profile, https://developer.microsoft.com/fr-fr/microsoft-365/profile, https://developer.microsoft.com/ru-ru/microsoft-365/profile, https://developer.microsoft.com/es-es/microsoft-365/profile, https://developer.microsoft.com/pt-br/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile, https://developer.microsoft.com/zh-cn/microsoft-365/profile, https://developer.microsoft-tst.com/en-us/microsoft-365/profile, https://developer.microsoft-tst.com/zh-cn/microsoft-365/profile, https://lookbook.microsoft.com/tenant/",,"2021-10-04T09:32:08Z","73da091f-a58d-405f-9015-9bd386425255","Enabled","Visible","No","No",,,,,"Enterprise Application"
"Delegated","5d9fff84-5b34-4204-bc91-3aaf5f298c5d","34d144a1-4bf8-45ef-9c7f-6770fa45d592","SharePointPnP.ProvisioningApp.Tenant","1c780412-86bf-4917-8e6d-6b5c07e64eb2","Microsoft Graph","User.Read","Principal","7f96006a-f58e-4e01-9379-02964d0d0a87","Administrator","https://provisioning.sharepointpnp.com/tenant/","","https://developer.microsoft.com/pt-br/office/profile, https://developer.microsoft.com/es-es/office/profile, https://developer.microsoft.com/ru-ru/office/profile, https://developer.microsoft.com/fr-fr/office/profile, https://developer.microsoft.com/de-de/office/profile, https://developer.microsoft.com/ja-jp/office/profile, https://developer.microsoft.com/zh-cn/office/profile, https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-tst.com/zh-cn/office/profile, https://developer.microsoft-tst.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-tst.com/office/profile, https://provisioning.sharepointpnp.com/tenant/, https://developer.microsoft.com/ja-jp/microsoft-365/profile, https://developer.microsoft.com/de-de/microsoft-365/profile, https://developer.microsoft.com/fr-fr/microsoft-365/profile, https://developer.microsoft.com/ru-ru/microsoft-365/profile, https://developer.microsoft.com/es-es/microsoft-365/profile, https://developer.microsoft.com/pt-br/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile, https://developer.microsoft.com/zh-cn/microsoft-365/profile, https://developer.microsoft-tst.com/en-us/microsoft-365/profile, https://developer.microsoft-tst.com/zh-cn/microsoft-365/profile, https://lookbook.microsoft.com/tenant/",,"2021-10-04T09:32:08Z","73da091f-a58d-405f-9015-9bd386425255","Enabled","Visible","No","No",,,,,"Enterprise Application"
"Delegated","5d9fff84-5b34-4204-bc91-3aaf5f298c5d","34d144a1-4bf8-45ef-9c7f-6770fa45d592","SharePointPnP.ProvisioningApp.Tenant","1c780412-86bf-4917-8e6d-6b5c07e64eb2","Microsoft Graph","Directory.Read.All","Principal","7f96006a-f58e-4e01-9379-02964d0d0a87","Administrator","https://provisioning.sharepointpnp.com/tenant/","","https://developer.microsoft.com/pt-br/office/profile, https://developer.microsoft.com/es-es/office/profile, https://developer.microsoft.com/ru-ru/office/profile, https://developer.microsoft.com/fr-fr/office/profile, https://developer.microsoft.com/de-de/office/profile, https://developer.microsoft.com/ja-jp/office/profile, https://developer.microsoft.com/zh-cn/office/profile, https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-tst.com/zh-cn/office/profile, https://developer.microsoft-tst.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-tst.com/office/profile, https://provisioning.sharepointpnp.com/tenant/, https://developer.microsoft.com/ja-jp/microsoft-365/profile, https://developer.microsoft.com/de-de/microsoft-365/profile, https://developer.microsoft.com/fr-fr/microsoft-365/profile, https://developer.microsoft.com/ru-ru/microsoft-365/profile, https://developer.microsoft.com/es-es/microsoft-365/profile, https://developer.microsoft.com/pt-br/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile, https://developer.microsoft.com/zh-cn/microsoft-365/profile, https://developer.microsoft-tst.com/en-us/microsoft-365/profile, https://developer.microsoft-tst.com/zh-cn/microsoft-365/profile, https://lookbook.microsoft.com/tenant/",,"2021-10-04T09:32:08Z","73da091f-a58d-405f-9015-9bd386425255","Enabled","Visible","No","No",,,,,"Enterprise Application"
"Delegated","5d9fff84-5b34-4204-bc91-3aaf5f298c5d","34d144a1-4bf8-45ef-9c7f-6770fa45d592","SharePointPnP.ProvisioningApp.Tenant","1c780412-86bf-4917-8e6d-6b5c07e64eb2","Microsoft Graph","Mail.Send","Principal","7f96006a-f58e-4e01-9379-02964d0d0a87","Administrator","https://provisioning.sharepointpnp.com/tenant/","","https://developer.microsoft.com/pt-br/office/profile, https://developer.microsoft.com/es-es/office/profile, https://developer.microsoft.com/ru-ru/office/profile, https://developer.microsoft.com/fr-fr/office/profile, https://developer.microsoft.com/de-de/office/profile, https://developer.microsoft.com/ja-jp/office/profile, https://developer.microsoft.com/zh-cn/office/profile, https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-tst.com/zh-cn/office/profile, https://developer.microsoft-tst.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-tst.com/office/profile, https://provisioning.sharepointpnp.com/tenant/, https://developer.microsoft.com/ja-jp/microsoft-365/profile, https://developer.microsoft.com/de-de/microsoft-365/profile, https://developer.microsoft.com/fr-fr/microsoft-365/profile, https://developer.microsoft.com/ru-ru/microsoft-365/profile, https://developer.microsoft.com/es-es/microsoft-365/profile, https://developer.microsoft.com/pt-br/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile, https://developer.microsoft.com/zh-cn/microsoft-365/profile, https://developer.microsoft-tst.com/en-us/microsoft-365/profile, https://developer.microsoft-tst.com/zh-cn/microsoft-365/profile, https://lookbook.microsoft.com/tenant/",,"2021-10-04T09:32:08Z","73da091f-a58d-405f-9015-9bd386425255","Enabled","Visible","No","No",,,,,"Enterprise Application"
"Delegated","5d9fff84-5b34-4204-bc91-3aaf5f298c5d","34d144a1-4bf8-45ef-9c7f-6770fa45d592","SharePointPnP.ProvisioningApp.Tenant","1c780412-86bf-4917-8e6d-6b5c07e64eb2","Microsoft Graph","Sites.FullControl.All","Principal","7f96006a-f58e-4e01-9379-02964d0d0a87","Administrator","https://provisioning.sharepointpnp.com/tenant/","","https://developer.microsoft.com/pt-br/office/profile, https://developer.microsoft.com/es-es/office/profile, https://developer.microsoft.com/ru-ru/office/profile, https://developer.microsoft.com/fr-fr/office/profile, https://developer.microsoft.com/de-de/office/profile, https://developer.microsoft.com/ja-jp/office/profile, https://developer.microsoft.com/zh-cn/office/profile, https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-tst.com/zh-cn/office/profile, https://developer.microsoft-tst.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-tst.com/office/profile, https://provisioning.sharepointpnp.com/tenant/, https://developer.microsoft.com/ja-jp/microsoft-365/profile, https://developer.microsoft.com/de-de/microsoft-365/profile, https://developer.microsoft.com/fr-fr/microsoft-365/profile, https://developer.microsoft.com/ru-ru/microsoft-365/profile, https://developer.microsoft.com/es-es/microsoft-365/profile, https://developer.microsoft.com/pt-br/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile, https://developer.microsoft.com/zh-cn/microsoft-365/profile, https://developer.microsoft-tst.com/en-us/microsoft-365/profile, https://developer.microsoft-tst.com/zh-cn/microsoft-365/profile, https://lookbook.microsoft.com/tenant/",,"2021-10-04T09:32:08Z","73da091f-a58d-405f-9015-9bd386425255","Enabled","Visible","No","No",,,,,"Enterprise Application"
"Delegated","5d9fff84-5b34-4204-bc91-3aaf5f298c5d","34d144a1-4bf8-45ef-9c7f-6770fa45d592","SharePointPnP.ProvisioningApp.Tenant","1c780412-86bf-4917-8e6d-6b5c07e64eb2","Microsoft Graph","Sites.Read.All","Principal","7f96006a-f58e-4e01-9379-02964d0d0a87","Administrator","https://provisioning.sharepointpnp.com/tenant/","","https://developer.microsoft.com/pt-br/office/profile, https://developer.microsoft.com/es-es/office/profile, https://developer.microsoft.com/ru-ru/office/profile, https://developer.microsoft.com/fr-fr/office/profile, https://developer.microsoft.com/de-de/office/profile, https://developer.microsoft.com/ja-jp/office/profile, https://developer.microsoft.com/zh-cn/office/profile, https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-tst.com/zh-cn/office/profile, https://developer.microsoft-tst.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-tst.com/office/profile, https://provisioning.sharepointpnp.com/tenant/, https://developer.microsoft.com/ja-jp/microsoft-365/profile, https://developer.microsoft.com/de-de/microsoft-365/profile, https://developer.microsoft.com/fr-fr/microsoft-365/profile, https://developer.microsoft.com/ru-ru/microsoft-365/profile, https://developer.microsoft.com/es-es/microsoft-365/profile, https://developer.microsoft.com/pt-br/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile, https://developer.microsoft.com/zh-cn/microsoft-365/profile, https://developer.microsoft-tst.com/en-us/microsoft-365/profile, https://developer.microsoft-tst.com/zh-cn/microsoft-365/profile, https://lookbook.microsoft.com/tenant/",,"2021-10-04T09:32:08Z","73da091f-a58d-405f-9015-9bd386425255","Enabled","Visible","No","No",,,,,"Enterprise Application"
"Delegated","5d9fff84-5b34-4204-bc91-3aaf5f298c5d","34d144a1-4bf8-45ef-9c7f-6770fa45d592","SharePointPnP.ProvisioningApp.Tenant","b0d190c2-9adb-4927-b572-86947de5589c","Office 365 SharePoint Online","AllSites.FullControl","Principal","7f96006a-f58e-4e01-9379-02964d0d0a87","Administrator","https://provisioning.sharepointpnp.com/tenant/","","https://developer.microsoft.com/pt-br/office/profile, https://developer.microsoft.com/es-es/office/profile, https://developer.microsoft.com/ru-ru/office/profile, https://developer.microsoft.com/fr-fr/office/profile, https://developer.microsoft.com/de-de/office/profile, https://developer.microsoft.com/ja-jp/office/profile, https://developer.microsoft.com/zh-cn/office/profile, https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-tst.com/zh-cn/office/profile, https://developer.microsoft-tst.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-tst.com/office/profile, https://provisioning.sharepointpnp.com/tenant/, https://developer.microsoft.com/ja-jp/microsoft-365/profile, https://developer.microsoft.com/de-de/microsoft-365/profile, https://developer.microsoft.com/fr-fr/microsoft-365/profile, https://developer.microsoft.com/ru-ru/microsoft-365/profile, https://developer.microsoft.com/es-es/microsoft-365/profile, https://developer.microsoft.com/pt-br/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile, https://developer.microsoft.com/zh-cn/microsoft-365/profile, https://developer.microsoft-tst.com/en-us/microsoft-365/profile, https://developer.microsoft-tst.com/zh-cn/microsoft-365/profile, https://lookbook.microsoft.com/tenant/",,"2021-10-04T09:32:08Z","73da091f-a58d-405f-9015-9bd386425255","Enabled","Visible","No","No",,,,,"Enterprise Application"
"Delegated","5d9fff84-5b34-4204-bc91-3aaf5f298c5d","34d144a1-4bf8-45ef-9c7f-6770fa45d592","SharePointPnP.ProvisioningApp.Tenant","b0d190c2-9adb-4927-b572-86947de5589c","Office 365 SharePoint Online","TermStore.ReadWrite.All","Principal","7f96006a-f58e-4e01-9379-02964d0d0a87","Administrator","https://provisioning.sharepointpnp.com/tenant/","","https://developer.microsoft.com/pt-br/office/profile, https://developer.microsoft.com/es-es/office/profile, https://developer.microsoft.com/ru-ru/office/profile, https://developer.microsoft.com/fr-fr/office/profile, https://developer.microsoft.com/de-de/office/profile, https://developer.microsoft.com/ja-jp/office/profile, https://developer.microsoft.com/zh-cn/office/profile, https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-tst.com/zh-cn/office/profile, https://developer.microsoft-tst.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-tst.com/office/profile, https://provisioning.sharepointpnp.com/tenant/, https://developer.microsoft.com/ja-jp/microsoft-365/profile, https://developer.microsoft.com/de-de/microsoft-365/profile, https://developer.microsoft.com/fr-fr/microsoft-365/profile, https://developer.microsoft.com/ru-ru/microsoft-365/profile, https://developer.microsoft.com/es-es/microsoft-365/profile, https://developer.microsoft.com/pt-br/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile, https://developer.microsoft.com/zh-cn/microsoft-365/profile, https://developer.microsoft-tst.com/en-us/microsoft-365/profile, https://developer.microsoft-tst.com/zh-cn/microsoft-365/profile, https://lookbook.microsoft.com/tenant/",,"2021-10-04T09:32:08Z","73da091f-a58d-405f-9015-9bd386425255","Enabled","Visible","No","No",,,,,"Enterprise Application"
"Delegated","a1cffbc6-1cb3-44e4-a1d2-cee9cce700f1","5a51e07f-6503-4afb-a87b-fceaa9ff9462","Microsoft Sample Data Packs","1c780412-86bf-4917-8e6d-6b5c07e64eb2","Microsoft Graph","Organization.ReadWrite.All","AllPrincipals",,"","https://developer.microsoft.com/en-us/office","Microsoft","https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-int.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-int.com/microsoft-365/profile, https://developer.microsoft.com/microsoft-365/profile, https://developer.microsoft-int.com/en-us/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile",,"2021-08-10T14:24:08Z","72f988bf-86f1-41af-91ab-2d7cd011db47","Enabled","Visible","No","No",,,,,"Microsoft Application & Enterprise Application"
"Delegated","a1cffbc6-1cb3-44e4-a1d2-cee9cce700f1","5a51e07f-6503-4afb-a87b-fceaa9ff9462","Microsoft Sample Data Packs","1c780412-86bf-4917-8e6d-6b5c07e64eb2","Microsoft Graph","User.ReadWrite","AllPrincipals",,"","https://developer.microsoft.com/en-us/office","Microsoft","https://developer.microsoft.com/en-us/office/profile, https://developer.microsoft-int.com/en-us/office/profile, https://developer.microsoft.com/office/profile, https://developer.microsoft-int.com/office/profile, https://developer.microsoft-int.com/microsoft-365/profile, https://developer.microsoft.com/microsoft-365/profile, https://developer.microsoft-int.com/en-us/microsoft-365/profile, https://developer.microsoft.com/en-us/microsoft-365/profile",,"2021-08-10T14:24:08Z","72f988bf-86f1-41af-91ab-2d7cd011db47","Enabled","Visible","No","No",,,,,"Microsoft Application & Enterprise Application"
